malagasy,english,french,alpha_range,url
,,,-a,https://tenymalagasy.org/bins/largeImage?i=letter_a.img&w=a&p=letter_a.img!letter_a1.img
'lay,,,-,https://tenymalagasy.org/bins/teny2/lay
-a,-a-abeabede-akakokakaoakay-amroean'-ao-ay-azo vinaninaba-broetyda-drovitrye-f~fa-falombafama-fan~fana-fanazoñafandà-fao-fay-fiezoezoanafifady-fifefifefea-filozotrafima-firozatrafy-FX-Mahahga-gripyh--hozongozoninai-izozozozoanaja-J. Venuska-ksilôlala-m~ma-malovilovymama-man~mana-mañazoñamanda-mantsitsiñymay-miavovonamibà-miezokezokemifady-mifotsymigabaka-misterymita-mp~mpa~-mpazakampebeko-mpendriakympi~-mpizotramy-mv-n---ntsika-o-ozontane-pa-psikôlôjiara-rozirozysa-t~ta-tafotsinytagy-tazovonyte--to~ty-tsovatsovakava-vazovazove-vozovozoza-Z Volondanitra,-a,-,https://tenymalagasy.org/bins/alphaLists?lang=mg&range=a-aba
-a,-a,-,-,https://tenymalagasy.org/bins/alphaLists?lang=mg&range=a-aba
-a,-,abe,-,https://tenymalagasy.org/bins/alphaLists?lang=mg&range=a-aba
-a,-a-abeabede-akakokakaoakay-amroean'-ao-ay-azo vinaninaba-broetyda-drovitrye-f~fa-falombafama-fan~fana-fanazoñafandà-fao-fay-fiezoezoanafifady-fifefifefea-filozotrafima-firozatrafy-FX-Mahahga-gripyh--hozongozoninai-izozozozoanaja-J. Venuska-ksilôlala-m~ma-malovilovymama-man~mana-mañazoñamanda-mantsitsiñymay-miavovonamibà-miezokezokemifady-mifotsymigabaka-misterymita-mp~mpa~-mpazakampebeko-mpendriakympi~-mpizotramy-mv-n---ntsika-o-ozontane-pa-psikôlôjiara-rozirozysa-t~ta-tafotsinytagy-tazovonyte--to~ty-tsovatsovakava-vazovazove-vozovozoza-Z Volondanitra,-a,-,https://tenymalagasy.org/bins/alphaLists?lang=mg&range=a-aba
-a,-a,-,-,https://tenymalagasy.org/bins/alphaLists?lang=mg&range=a-aba
-a,-,abe,-,https://tenymalagasy.org/bins/alphaLists?lang=mg&range=a-aba
-a,-a-abeabede-akakokakaoakay-amroean'-ao-ay-azo vinaninaba-broetyda-drovitrye-f~fa-falombafama-fan~fana-fanazoñafandà-fao-fay-fiezoezoanafifady-fifefifefea-filozotrafima-firozatrafy-FX-Mahahga-gripyh--hozongozoninai-izozozozoanaja-J. Venuska-ksilôlala-m~ma-malovilovymama-man~mana-mañazoñamanda-mantsitsiñymay-miavovonamibà-miezokezokemifady-mifotsymigabaka-misterymita-mp~mpa~-mpazakampebeko-mpendriakympi~-mpizotramy-mv-n---ntsika-o-ozontane-pa-psikôlôjiara-rozirozysa-t~ta-tafotsinytagy-tazovonyte--to~ty-tsovatsovakava-vazovazove-vozovozoza-Z Volondanitra,-a,-,https://tenymalagasy.org/bins/alphaLists?lang=mg&range=a-aba
-a,-a,-,-,https://tenymalagasy.org/bins/alphaLists?lang=mg&range=a-aba
